Time,Spot Price,Regulating Price,
2023-11-10 20:00:00,1.27065,1.08647,
2023-11-10 21:00:00,1.25348,1.038394,
2023-11-10 22:00:00,1.25154,1.077426,
2023-11-10 23:00:00,1.23496,0.770882,
2023-11-11 00:00:00,1.22106,0.79016,
2023-11-11 01:00:00,1.19938,0.706622,
2023-11-11 02:00:00,1.19416,0.780283,
2023-11-11 03:00:00,1.19224,0.768026,
2023-11-11 04:00:00,1.18868,0.692342,
2023-11-11 05:00:00,1.21765,0.778379,
2023-11-11 06:00:00,1.24158,1.024947,
2023-11-11 07:00:00,1.25838,0.980441,
2023-11-11 08:00:00,1.32361,1.133832,
2023-11-11 09:00:00,1.36523,1.0948,
2023-11-11 10:00:00,1.31455,1.098489,
2023-11-11 11:00:00,1.29924,1.078854,
2023-11-11 12:00:00,1.26655,1.043868,
2023-11-11 13:00:00,1.26446,1.04839,
2023-11-11 14:00:00,1.31783,1.01745,
2023-11-11 15:00:00,1.47848,1.220107,
2023-11-11 16:00:00,1.66500,1.319948,
2023-11-11 17:00:00,1.84111,1.48036,
2023-11-11 18:00:00,1.95303,1.495116,
2023-11-11 19:00:00,1.41413,1.127406,
2023-11-11 20:00:00,1.39109,1.114673,
2023-11-11 21:00:00,1.33699,1.06386,
2023-11-11 22:00:00,1.29984,1.088374,
2023-11-11 23:00:00,1.24990,0.799442,
2023-11-12 00:00:00,1.26206,1.036014,
2023-11-12 01:00:00,1.22846,1.033158,
2023-11-12 02:00:00,1.22818,1.023638,
2023-11-12 03:00:00,1.20081,0.994721,
2023-11-12 04:00:00,1.21196,1.017807,
2023-11-12 05:00:00,1.24914,1.048509,
2023-11-12 06:00:00,1.24483,0.865963,
2023-11-12 07:00:00,1.24779,0.848589,
2023-11-12 08:00:00,1.26236,0.843234,
2023-11-12 09:00:00,1.29284,1.106343,
2023-11-12 10:00:00,1.27664,1.116458,
2023-11-12 11:00:00,1.24854,1.094562,
2023-11-12 12:00:00,1.26905,1.121694,
2023-11-12 13:00:00,1.28511,1.120742,
2023-11-12 14:00:00,1.34800,1.161202,
2023-11-12 15:00:00,1.44181,1.100393,
2023-11-12 16:00:00,1.62021,1.197497,
2023-11-12 17:00:00,1.93124,1.436806,
2023-11-12 18:00:00,1.77646,1.426453,
2023-11-12 19:00:00,1.50990,1.250928,
2023-11-12 20:00:00,1.41371,1.118957,
2023-11-12 21:00:00,1.39706,1.136569,
2023-11-12 22:00:00,1.32823,1.13288,
2023-11-12 23:00:00,1.26668,1.125383,
